"id","name","category","price","currency","effect","target","unlock_city"
"IT001","Ember Salve 1","restorative","80","marks","restore_vigor","one_or_party_vigor","city_01"
"IT002","Tide Salve 2","restorative","100","marks","restore_vigor","one_or_party_vigor","city_01"
"IT003","Verdance Salve 3","restorative","120","marks","restore_vigor","one_or_party_vigor","city_01"
"IT004","Stone Salve 4","restorative","140","marks","restore_vigor","one_or_party_vigor","city_01"
"IT005","Gale Salve 5","restorative","160","marks","restore_vigor","one_or_party_vigor","city_01"
"IT006","Spark Salve 6","restorative","180","marks","restore_vigor","one_or_party_vigor","city_01"
"IT007","Frost Salve 7","restorative","200","marks","restore_vigor","one_or_party_vigor","city_02"
"IT008","Metal Salve 8","restorative","220","marks","restore_vigor","one_or_party_vigor","city_02"
"IT009","Shade Salve 9","restorative","240","marks","restore_vigor","one_or_party_vigor","city_02"
"IT010","Radiant Salve 10","restorative","260","marks","restore_vigor","one_or_party_vigor","city_02"
"IT011","Mind Salve 11","restorative","280","marks","restore_vigor","one_or_party_vigor","city_02"
"IT012","Echo Salve 12","restorative","300","marks","restore_vigor","one_or_party_vigor","city_02"
"IT013","Null Salve 13","restorative","320","marks","restore_vigor","one_or_party_vigor","city_03"
"IT014","Ember Salve 14","restorative","340","marks","restore_vigor","one_or_party_vigor","city_03"
"IT015","Tide Salve 15","restorative","360","marks","restore_vigor","one_or_party_vigor","city_03"
"IT016","Verdance Salve 16","restorative","380","marks","restore_vigor","one_or_party_vigor","city_03"
"IT017","Stone Salve 17","restorative","400","marks","restore_vigor","one_or_party_vigor","city_03"
"IT018","Gale Salve 18","restorative","420","marks","restore_vigor","one_or_party_vigor","city_03"
"IT019","Spark Patch 1","status_cure","120","marks","cure_status","one_echoform_status","city_04"
"IT020","Frost Patch 2","status_cure","144","marks","cure_status","one_echoform_status","city_04"
"IT021","Metal Patch 3","status_cure","168","marks","cure_status","one_echoform_status","city_04"
"IT022","Shade Patch 4","status_cure","192","marks","cure_status","one_echoform_status","city_04"
"IT023","Radiant Patch 5","status_cure","216","marks","cure_status","one_echoform_status","city_04"
"IT024","Mind Patch 6","status_cure","240","marks","cure_status","one_echoform_status","city_04"
"IT025","Echo Patch 7","status_cure","264","marks","cure_status","one_echoform_status","city_05"
"IT026","Null Patch 8","status_cure","288","marks","cure_status","one_echoform_status","city_05"
"IT027","Ember Patch 9","status_cure","312","marks","cure_status","one_echoform_status","city_05"
"IT028","Tide Patch 10","status_cure","336","marks","cure_status","one_echoform_status","city_05"
"IT029","Verdance Patch 11","status_cure","360","marks","cure_status","one_echoform_status","city_05"
"IT030","Stone Patch 12","status_cure","384","marks","cure_status","one_echoform_status","city_05"
"IT031","Gale Patch 13","status_cure","408","marks","cure_status","one_echoform_status","city_06"
"IT032","Spark Patch 14","status_cure","432","marks","cure_status","one_echoform_status","city_06"
"IT033","Frost Patch 15","status_cure","456","marks","cure_status","one_echoform_status","city_06"
"IT034","Metal Patch 16","status_cure","480","marks","cure_status","one_echoform_status","city_06"
"IT035","Shade Patch 17","status_cure","504","marks","cure_status","one_echoform_status","city_06"
"IT036","Radiant Patch 18","status_cure","528","marks","cure_status","one_echoform_status","city_06"
"IT037","Mind Prism 1","attunement","100","marks","attune_echoform","wild_echoform","city_07"
"IT038","Echo Prism 2","attunement","120","marks","attune_echoform","wild_echoform","city_07"
"IT039","Null Prism 3","attunement","140","marks","attune_echoform","wild_echoform","city_07"
"IT040","Ember Prism 4","attunement","160","marks","attune_echoform","wild_echoform","city_07"
"IT041","Tide Prism 5","attunement","180","marks","attune_echoform","wild_echoform","city_07"
"IT042","Verdance Prism 6","attunement","200","marks","attune_echoform","wild_echoform","city_07"
"IT043","Stone Prism 7","attunement","220","marks","attune_echoform","wild_echoform","city_08"
"IT044","Gale Prism 8","attunement","240","marks","attune_echoform","wild_echoform","city_08"
"IT045","Spark Prism 9","attunement","260","marks","attune_echoform","wild_echoform","city_08"
"IT046","Frost Prism 10","attunement","280","marks","attune_echoform","wild_echoform","city_08"
"IT047","Metal Prism 11","attunement","300","marks","attune_echoform","wild_echoform","city_08"
"IT048","Shade Prism 12","attunement","320","marks","attune_echoform","wild_echoform","city_08"
"IT049","Radiant Prism 13","attunement","340","marks","attune_echoform","wild_echoform","city_09"
"IT050","Mind Prism 14","attunement","360","marks","attune_echoform","wild_echoform","city_09"
"IT051","Echo Prism 15","attunement","380","marks","attune_echoform","wild_echoform","city_09"
"IT052","Null Prism 16","attunement","400","marks","attune_echoform","wild_echoform","city_09"
"IT053","Ember Prism 17","attunement","420","marks","attune_echoform","wild_echoform","city_09"
"IT054","Tide Prism 18","attunement","440","marks","attune_echoform","wild_echoform","city_09"
"IT055","Verdance Prism 19","attunement","460","marks","attune_echoform","wild_echoform","city_10"
"IT056","Stone Prism 20","attunement","480","marks","attune_echoform","wild_echoform","city_10"
"IT057","Gale Prism 21","attunement","500","marks","attune_echoform","wild_echoform","city_10"
"IT058","Spark Prism 22","attunement","520","marks","attune_echoform","wild_echoform","city_10"
"IT059","Frost Prism 23","attunement","540","marks","attune_echoform","wild_echoform","city_10"
"IT060","Metal Prism 24","attunement","560","marks","attune_echoform","wild_echoform","city_10"
"IT061","Shade Prism 25","attunement","580","marks","attune_echoform","wild_echoform","city_11"
"IT062","Radiant Prism 26","attunement","600","marks","attune_echoform","wild_echoform","city_11"
"IT063","Mind Prism 27","attunement","620","marks","attune_echoform","wild_echoform","city_11"
"IT064","Echo Prism 28","attunement","640","marks","attune_echoform","wild_echoform","city_11"
"IT065","Null Prism 29","attunement","660","marks","attune_echoform","wild_echoform","city_11"
"IT066","Ember Prism 30","attunement","680","marks","attune_echoform","wild_echoform","city_11"
"IT067","Tide Veil 1","battle_item","300","marks","temporary_stat_boost","party_or_inventory","city_12"
"IT068","Verdance Veil 2","battle_item","360","marks","temporary_stat_boost","party_or_inventory","city_12"
"IT069","Stone Veil 3","battle_item","420","marks","temporary_stat_boost","party_or_inventory","city_12"
"IT070","Gale Veil 4","battle_item","480","marks","temporary_stat_boost","party_or_inventory","city_12"
"IT071","Spark Veil 5","battle_item","540","marks","temporary_stat_boost","party_or_inventory","city_12"
"IT072","Frost Veil 6","battle_item","600","marks","temporary_stat_boost","party_or_inventory","city_12"
"IT073","Metal Veil 7","battle_item","660","marks","temporary_stat_boost","party_or_inventory","city_13"
"IT074","Shade Veil 8","battle_item","720","marks","temporary_stat_boost","party_or_inventory","city_13"
"IT075","Radiant Veil 9","battle_item","780","marks","temporary_stat_boost","party_or_inventory","city_13"
"IT076","Mind Veil 10","battle_item","840","marks","temporary_stat_boost","party_or_inventory","city_13"
"IT077","Echo Veil 11","battle_item","900","marks","temporary_stat_boost","party_or_inventory","city_13"
